OBJECTID,ADMINFORESTID,REGION,FORESTNUMBER,FORESTORGCODE,FORESTNAME,GIS_ACRES,SHAPELEN,SHAPEAREA
193589,99040700010343,04,07,0407,Dixie National Forest,1711285.312,11.7396478568324,0.707541974169522
193592,99041700010343,04,17,0417,Humboldt-Toiyabe National Forest,6704127.343,46.7623063002106,2.83324262371332
193596,99041400010343,04,14,0414,Sawtooth National Forest,2190138.959,12.7897517231411,0.984371086279472
193912,99050900010343,05,09,0509,Modoc National Forest,2023025.721,12.3659671062689,0.883730628246313
193913,99050200010343,05,02,0502,Cleveland National Forest,561816.807,6.26926272163961,0.219827523402765
193914,99050800010343,05,08,0508,Mendocino National Forest,1073375.474,4.9860526103621,0.455701196500705
193915,99051600010343,05,16,0516,Stanislaus National Forest,1090354.197,6.23286687244672,0.453639674797488
193916,99051500010343,05,15,0515,Sierra National Forest,1418789.802,6.5975230300696,0.583226845168983
193921,99051900010343,05,19,0519,Lake Tahoe Basin Management Unit,331807.525,2.23483470690494,0.139708177248159
193927,99061000010343,06,10,0610,Rogue River-Siskiyou National Forests,1852705.174,13.180199084649,0.820102639012866
193928,99050300010343,05,03,0503,Eldorado National Forest,793652.605,7.95372069657826,0.332986625398265
193929,99051700010343,05,17,0517,Tahoe National Forest,1179579.031,10.5582311044503,0.499121815533523
193930,99050400010343,05,04,0504,Inyo National Forest,2097005.697,13.9911740076332,0.862983099477901
193931,99051300010343,05,13,0513,Sequoia National Forest,1160053.094,10.1227070935775,0.469422342613142
193932,99050500010343,05,05,0505,Klamath National Forest,1705451.572,20.0547738137758,0.745556328340909
193933,99051000010343,05,10,0510,Six Rivers National Forest,1273948.858,10.6215595100392,0.553253188894574
193934,99050100010343,05,01,0501,Angeles National Forest,706727.459,5.10156624480794,0.280431588955496
193935,99050600010343,05,06,0506,Lassen National Forest,1488711.983,18.6304669692066,0.640481128755012
193936,99051100010343,05,11,0511,Plumas National Forest,1431792.065,14.4160529523057,0.610445914317094
193937,99050700010343,05,07,0507,Los Padres National Forest,1970265.641,13.1463424214916,0.787440476170717
193938,99051200010343,05,12,0512,San Bernardino National Forest,805482.714,6.4243969717397,0.318299921550283
193939,99051400010343,05,14,0514,Shasta-Trinity National Forest,2715499.547,22.1565454147798,1.17478128854624
193949,99060200010343,06,02,0602,Fremont-Winema National Forest,2815964.139,22.9512142554311,1.25132260102362
